Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
60,8,9,83,3,Some Random Commen with Id 60
61,9,6,7,2,Some Random Commen with Id 61
62,9,6,90,9,Some Random Commen with Id 62
63,9,6,188,2,Some Random Commen with Id 63
64,9,6,69,1,Some Random Commen with Id 64
65,9,6,198,4,Some Random Commen with Id 65
66,9,6,100,7,Some Random Commen with Id 66
67,9,6,65,1,Some Random Commen with Id 67
68,9,6,135,4,Some Random Commen with Id 68
69,10,5,125,3,Some Random Commen with Id 69
70,11,7,78,4,Some Random Commen with Id 70
71,11,7,78,1,Some Random Commen with Id 71
72,11,7,139,8,Some Random Commen with Id 72
73,11,7,59,3,Some Random Commen with Id 73
74,11,7,158,9,Some Random Commen with Id 74
75,11,7,5,5,Some Random Commen with Id 75
76,12,9,7,2,Some Random Commen with Id 76
77,12,9,8,5,Some Random Commen with Id 77
78,12,9,183,3,Some Random Commen with Id 78
79,12,9,169,9,Some Random Commen with Id 79
80,12,9,9,6,Some Random Commen with Id 80
81,13,1,189,9,Some Random Commen with Id 81
82,13,1,83,5,Some Random Commen with Id 82
83,13,1,137,1,Some Random Commen with Id 83
84,13,1,191,3,Some Random Commen with Id 84
85,13,1,18,8,Some Random Commen with Id 85
86,13,1,81,7,Some Random Commen with Id 86
87,13,1,195,3,Some Random Commen with Id 87
88,14,9,72,9,Some Random Commen with Id 88
89,14,9,0,0,Some Random Commen with Id 89
90,14,9,125,0,Some Random Commen with Id 90
91,14,9,151,4,Some Random Commen with Id 91
92,15,9,66,2,Some Random Commen with Id 92
93,15,9,116,6,Some Random Commen with Id 93
94,15,9,85,3,Some Random Commen with Id 94
95,15,9,62,1,Some Random Commen with Id 95
96,15,9,30,4,Some Random Commen with Id 96
97,15,9,122,5,Some Random Commen with Id 97
98,15,9,54,7,Some Random Commen with Id 98
99,15,9,63,4,Some Random Commen with Id 99
100,16,6,2,6,Some Random Commen with Id 100
101,16,6,27,2,Some Random Commen with Id 101
102,16,6,199,7,Some Random Commen with Id 102
103,16,6,163,2,Some Random Commen with Id 103
104,17,7,167,6,Some Random Commen with Id 104
105,17,7,74,1,Some Random Commen with Id 105
106,17,7,43,4,Some Random Commen with Id 106
107,17,7,23,9,Some Random Commen with Id 107
108,17,7,72,2,Some Random Commen with Id 108
109,17,7,43,1,Some Random Commen with Id 109
110,18,9,196,0,Some Random Commen with Id 110
111,18,9,95,7,Some Random Commen with Id 111
112,19,0,69,8,Some Random Commen with Id 112
113,19,0,67,2,Some Random Commen with Id 113
114,19,0,188,4,Some Random Commen with Id 114
115,19,0,99,6,Some Random Commen with Id 115
116,19,0,147,1,Some Random Commen with Id 116
117,20,3,18,0,Some Random Commen with Id 117
118,20,3,45,9,Some Random Commen with Id 118
119,20,3,129,8,Some Random Commen with Id 119
120,20,3,38,2,Some Random Commen with Id 120
121,20,3,184,9,Some Random Commen with Id 121
122,20,3,64,4,Some Random Commen with Id 122
123,21,6,170,0,Some Random Commen with Id 123
124,21,6,70,8,Some Random Commen with Id 124
125,21,6,133,9,Some Random Commen with Id 125
126,21,6,51,5,Some Random Commen with Id 126
127,21,6,145,7,Some Random Commen with Id 127
128,21,6,124,9,Some Random Commen with Id 128
129,21,6,162,4,Some Random Commen with Id 129
130,22,4,183,2,Some Random Commen with Id 130
131,22,4,54,2,Some Random Commen with Id 131
132,22,4,115,7,Some Random Commen with Id 132
133,22,4,63,5,Some Random Commen with Id 133
134,22,4,148,0,Some Random Commen with Id 134
135,22,4,129,4,Some Random Commen with Id 135
136,22,4,153,9,Some Random Commen with Id 136
137,22,4,18,7,Some Random Commen with Id 137
138,22,4,153,0,Some Random Commen with Id 138
139,23,9,94,9,Some Random Commen with Id 139
140,24,9,169,0,Some Random Commen with Id 140
141,24,9,87,8,Some Random Commen with Id 141
142,24,9,167,4,Some Random Commen with Id 142
143,24,9,132,0,Some Random Commen with Id 143
144,24,9,40,3,Some Random Commen with Id 144
145,24,9,165,4,Some Random Commen with Id 145
146,24,9,168,3,Some Random Commen with Id 146
147,24,9,2,1,Some Random Commen with Id 147
148,25,9,8,0,Some Random Commen with Id 148
149,26,9,20,6,Some Random Commen with Id 149
150,26,9,37,4,Some Random Commen with Id 150
151,26,9,22,1,Some Random Commen with Id 151
152,26,9,177,1,Some Random Commen with Id 152
153,26,9,130,2,Some Random Commen with Id 153
154,27,3,177,3,Some Random Commen with Id 154
155,27,3,198,9,Some Random Commen with Id 155
156,27,3,126,7,Some Random Commen with Id 156
157,28,8,13,6,Some Random Commen with Id 157
158,28,8,113,4,Some Random Commen with Id 158
159,28,8,78,9,Some Random Commen with Id 159
160,28,8,49,5,Some Random Commen with Id 160
161,28,8,167,8,Some Random Commen with Id 161
162,28,8,65,6,Some Random Commen with Id 162
163,29,5,162,6,Some Random Commen with Id 163
164,29,5,7,6,Some Random Commen with Id 164
165,29,5,192,3,Some Random Commen with Id 165
166,30,9,102,2,Some Random Commen with Id 166
167,30,9,46,7,Some Random Commen with Id 167
168,30,9,164,5,Some Random Commen with Id 168
169,30,9,36,6,Some Random Commen with Id 169
170,30,9,195,2,Some Random Commen with Id 170
171,30,9,144,2,Some Random Commen with Id 171
172,30,9,112,1,Some Random Commen with Id 172
173,30,9,6,4,Some Random Commen with Id 173
174,30,9,135,6,Some Random Commen with Id 174
175,32,7,152,0,Some Random Commen with Id 175
176,32,7,43,9,Some Random Commen with Id 176
177,32,7,182,9,Some Random Commen with Id 177
178,32,7,121,2,Some Random Commen with Id 178
179,32,7,195,7,Some Random Commen with Id 179
180,32,7,3,5,Some Random Commen with Id 180
181,32,7,90,3,Some Random Commen with Id 181
182,32,7,164,5,Some Random Commen with Id 182
183,32,7,17,1,Some Random Commen with Id 183
184,33,4,132,9,Some Random Commen with Id 184
185,34,2,102,2,Some Random Commen with Id 185
186,34,2,5,2,Some Random Commen with Id 186
187,34,2,8,9,Some Random Commen with Id 187
188,34,2,114,9,Some Random Commen with Id 188
189,34,2,10,9,Some Random Commen with Id 189
190,35,4,119,9,Some Random Commen with Id 190
191,35,4,152,5,Some Random Commen with Id 191
192,35,4,173,3,Some Random Commen with Id 192
193,35,4,27,4,Some Random Commen with Id 193
194,35,4,33,0,Some Random Commen with Id 194
195,35,4,26,0,Some Random Commen with Id 195
196,35,4,41,8,Some Random Commen with Id 196
197,35,4,128,5,Some Random Commen with Id 197
198,35,4,83,1,Some Random Commen with Id 198
199,36,6,108,2,Some Random Commen with Id 199
200,36,6,142,0,Some Random Commen with Id 200
201,36,6,170,7,Some Random Commen with Id 201
202,37,4,2,3,Some Random Commen with Id 202
203,37,4,189,6,Some Random Commen with Id 203
204,37,4,46,8,Some Random Commen with Id 204
205,37,4,119,3,Some Random Commen with Id 205
206,37,4,110,5,Some Random Commen with Id 206
207,37,4,120,2,Some Random Commen with Id 207
208,38,3,122,3,Some Random Commen with Id 208
209,39,2,163,0,Some Random Commen with Id 209
210,39,2,35,1,Some Random Commen with Id 210
211,39,2,179,9,Some Random Commen with Id 211
212,39,2,161,6,Some Random Commen with Id 212
213,39,2,119,0,Some Random Commen with Id 213
